Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
43,u+o+r+g+h+t,through,FALSE,,,uorght,0,,u,o,r,,g,h,,t,,,,t,h,r,,u,o,r,g,h,t,,,+,,,,,,Keep,through
44,i+k+l+s,links,FALSE,,,ikls,0,,,i,,k,,,,,l,s,,l,i,n,,i,k,l,s,,,,,+,,,,,,Keep,links
45,i+r+v+w,review,FALSE,,,irvw,0,,,i,r,v,w,,,,,,,r,e,v,,i,r,v,w,,,,,+,,,,,,Keep,review
46,e+a+y,years,FALSE,,,eay,0,,,,e,,,,,a,,y,,y,e,a,,e,a,y,,,,,,+,,,,,,Keep,years
47,o+r+d,order,FALSE,,,ord,0,,,o,r,,,d,,,,,,o,r,d,,o,r,d,,,,,,+,,,,,,Keep,order
48,i+r+v+p+a+y,privacy,FALSE,,,irvpay,0,,,i,r,v,,p,,a,,y,,p,r,i,,i,r,v,p,a,y,,,+,,,,,,Keep,privacy
49,i+e+m+t+s,items,FALSE,,,iemts,0,,,i,e,m,,,,t,,s,,i,t,e,,i,e,m,t,s,,,,+,,,,,,Keep,items
50,o+c+p+a+n+y,company,FALSE,,,ocpany,0,,,o,,c,,p,,a,n,y,,c,o,m,,o,c,p,a,n,y,,,+,,,,,,Keep,company
51,u+o+r+g+p,group,FALSE,,,uorgp,0,,u,o,r,,g,p,,,,,,g,r,o,,u,o,r,g,p,,,,+,,,,,,Keep,group
52,u+r+d+n,under,FALSE,,,urdn,0,,u,,r,,,d,,,n,,,u,n,d,,u,r,d,n,,,,,+,,,,,,Keep,under
53,e+g+a+n,general,FALSE,,,egan,0,,,,e,,g,,,a,n,,,g,e,n,,e,g,a,n,,,,,+,,,,,,Keep,general
55,u+i+r+v+t+n+y,university,FALSE,,,uirvtny,0,,u,i,r,v,,,,t,n,y,,u,n,i,,u,i,r,v,t,n,y,,+,,,,,,Keep,university
56,u+r+a+j+y,january,FALSE,,,urajy,0,,u,,r,,,,,a,j,y,,j,a,n,,u,r,a,j,y,,,,+,,,,,,Keep,january
58,o+r+m+g+p+a,program,FALSE,,,ormgpa,0,,,o,r,m,g,p,,a,,,,p,r,o,,o,r,m,g,p,a,,,+,,,,,,Keep,program
60,e+m+g+a+n,management,FALSE,,,emgan,0,,,,e,m,g,,,a,n,,,m,a,n,,e,m,g,a,n,,,,+,,,,,,Keep,management
61,u+o+c+d+l,could,FALSE,,,uocdl,0,,u,o,,c,,d,,,l,,,c,o,u,,u,o,c,d,l,,,,+,,,,,,Keep,could
