Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
61,,could,FALSE,,,,54,,,,,,,,,,,,,c,o,u,,,,,,,,,,+,,,,,,Keep,could
62,,great,FALSE,,,,55,,,,,,,,,,,,,g,r,e,,,,,,,,,,+,,,,,,Keep,great
63,,united,FALSE,,,,56,,,,,,,,,,,,,u,n,i,,,,,,,,,,+,,,,,,Keep,united
64,,hotel,FALSE,,,,57,,,,,,,,,,,,,h,o,t,,,,,,,,,,+,,,,,,Keep,hotel
65,,international,FALSE,,,,58,,,,,,,,,,,,,i,n,t,,,,,,,,,,+,,,,,,Keep,international
66,,center,FALSE,,,,59,,,,,,,,,,,,,c,e,n,,,,,,,,,,+,,,,,,Keep,center
67,,store,FALSE,,,,60,,,,,,,,,,,,,s,t,o,,,,,,,,,,+,,,,,,Keep,store
68,,travel,FALSE,,,,61,,,,,,,,,,,,,t,r,a,,,,,,,,,,+,,,,,,Keep,travel
69,,comments,FALSE,,,,62,,,,,,,,,,,,,c,o,m,,,,,,,,,,+,,,,,,Keep,comments
70,,development,FALSE,,,,63,,,,,,,,,,,,,d,e,v,,,,,,,,,,+,,,,,,Keep,development
71,,report,FALSE,,,,64,,,,,,,,,,,,,r,e,p,,,,,,,,,,+,,,,,,Keep,report
72,,member,FALSE,,,,65,,,,,,,,,,,,,m,e,m,,,,,,,,,,+,,,,,,Keep,member
75,,before,FALSE,,,,66,,,,,,,,,,,,,b,e,f,,,,,,,,,,+,,,,,,Keep,before
77,,right,FALSE,,,,67,,,,,,,,,,,,,r,i,g,,,,,,,,,,+,,,,,,Keep,right
78,,because,FALSE,,,,68,,,,,,,,,,,,,b,e,c,,,,,,,,,,+,,,,,,Keep,because
79,,local,FALSE,,,,69,,,,,,,,,,,,,l,o,c,,,,,,,,,,+,,,,,,Keep,local
80,,those,FALSE,,,,70,,,,,,,,,,,,,t,h,o,,,,,,,,,,+,,,,,,Keep,those
81,,using,FALSE,,,,71,,,,,,,,,,,,,u,s,i,,,,,,,,,,+,,,,,,Keep,using
82,,results,FALSE,,,,72,,,,,,,,,,,,,r,e,s,,,,,,,,,,+,,,,,,Keep,results
83,,office,FALSE,,,,73,,,,,,,,,,,,,o,f,f,,,,,,,,,,+,,,,,,Keep,office
84,,education,FALSE,,,,74,,,,,,,,,,,,,e,d,u,,,,,,,,,,+,,,,,,Keep,education
85,,national,FALSE,,,,75,,,,,,,,,,,,,n,a,t,,,,,,,,,,+,,,,,,Keep,national
86,,design,FALSE,,,,76,,,,,,,,,,,,,d,e,s,,,,,,,,,,+,,,,,,Keep,design
87,,posted,FALSE,,,,77,,,,,,,,,,,,,p,o,s,,,,,,,,,,+,,,,,,Keep,posted
88,,internet,FALSE,,,,78,,,,,,,,,,,,,i,n,t,,,,,,,,,,+,,,,,,Keep,internet
89,,address,FALSE,,,,79,,,,,,,,,,,,,a,d,d,,,,,,,,,,+,,,,,,Keep,address
90,,community,FALSE,,,,80,,,,,,,,,,,,,c,o,m,,,,,,,,,,+,,,,,,Keep,community
91,,within,FALSE,,,,81,,,,,,,,,,,,,w,i,t,,,,,,,,,,+,,,,,,Keep,within
93,,phone,FALSE,,,,82,,,,,,,,,,,,,p,h,o,,,,,,,,,,+,,,,,,Keep,phone
94,,shipping,FALSE,,,,83,,,,,,,,,,,,,s,h,i,,,,,,,,,,+,,,,,,Keep,shipping
